Назва, Місто/район,"На зерно та зелений корм, га","На зерно та зелений корм, у % до площ під урожай 2020р",Зернові культури усього га,Зернові культури у % до площ під урожай 2020р. (пшениця),Зернові культури усього га,Зернові культури у % до площ під урожай 2020р. (пшениця),"Ріпак, га",Ріпак у % до площ під урожай 2020р.
м.Одеса,місто,,,,,,,,
м.Балта,місто,15899.12,727.1,13631.66,672.2,11491.7,696.9,2267.46,1427.9
м.Білгород-Дністровський,місто,6046.73,68.5,4785.78,73.6,3223.33,91,1260.95,54.3
м.Біляївка,місто,2933.87,138.1,2810.2,206.3,2026.62,326.9,,
м.Ізмаїл,місто,,,,,,,,
Ананьївський,район,22598.17,93.2,19815.86,87.6,15045.99,79.3,2782.31,173.1
Арцизький,район,47539.87,94.1,38934.93,105.5,22182.03,100.3,8604.94,63.7
Балтський,район,7488.43,35.1,6849,39.3,5226.23,37.7,639.43,16.3
Білгород-Дністровський,район,48609.2,86.8,35279.04,92.1,23338.51,91.7,13225.98,75.4
Біляївський,район,25090.64,88.9,24118.05,94.9,18195.95,100.3,652,25.9
Березівський,район,36208.85,78.9,28875.47,75.8,22608.3,78.8,7038.38,94.5
Болградський,район,39790.18,97.1,28518.98,76,16479.58,76.2,11271.2,325
Великомихайлівський,район,42379.5,97.7,35536.1,95.8,25018.56,101.8,6843.4,108.8
Іванівський,район,35693.09,98.8,33359.22,105.4,22653.22,104.7,2264.75,51.3
Ізмаїльський,район,39169.18,102.7,36541.77,116.6,21863.3,117.2,2627.41,38.7
Кілійський,район,19834.94,85.6,19145.01,87.4,10547.85,85.6,689.93,54.6
Кодимський,район,12720.82,126.4,12139.82,136.6,8769.62,144.6,581,49.2
Лиманський,район,56547.96,92.5,39041.93,100.4,27222.8,108.1,17506.03,78.7
Подільський,район,19982.96,90.8,19529.96,94.8,13669.99,91.7,453,32.3
Окнянський,район,28357.75,95.9,22627.71,101.3,17899.78,110.6,5730.04,79.3
Любашівський,район,20580.24,88,19125.02,94.6,14082.99,86.3,1455.22,45.9
Миколаївський,район,16773.68,76.9,16033.18,100.2,12419.39,95.3,740.5,12.7
Овідіопольський,район,21584.4,96.6,18782.4,104.8,11645.79,101.7,2522,60.3
Роздільнянський,район,36756.97,77.1,34614.33,102.8,27981.56,107.7,2142.64,15.3
Ренійський,район,9661.55,77.7,9043.55,73.4,3908.81,56.9,618,588.6
Савранський,район,8426.09,96.7,6489.09,84.8,4389.89,74.8,1937,183.8
Саратський,район,65448.89,89.9,50786.25,104.9,31667.06,110.6,14662.64,60.9
Тарутинський,район,57929.93,91.2,47767.09,97.8,32717.83,89.8,10162.84,69.1
Татарбунарський,район,31297.55,89.9,26993.04,99.1,13271.75,95.6,4304.51,56.9
Захарівський,район,13285.09,100,12094.28,102.2,9159.71,102.7,1190.81,82.3
Ширяївський,район,37478.73,99.3,33270.95,107.9,26678.88,112.1,4207.78,60.9
